Class Name,Pixel Count,Area (m²),Area (Hectares),Area (km²)
1,13943,"1,394,300",139.43,1.3943
2,18323,"1,832,300",183.23,1.8323
3,22886,"2,288,600",228.86,2.2886
4,122933,"12,293,300","1,229.33",12.2933
5,25435,"2,543,500",254.35,2.5435
